iter	Logloss
0	0.4991118032
1	0.4021731302
2	0.322559015
3	0.2713024726
4	0.2438410398
5	0.2123886567
6	0.1963821759
7	0.1841883446
8	0.1734193893
9	0.1663159648
10	0.1601333279
11	0.1560950832
12	0.1525456831
13	0.1482290781
14	0.1440167692
15	0.1415485744
16	0.1384456629
17	0.1358756819
18	0.1340337664
19	0.13173566
20	0.130609247
21	0.1287387453
22	0.126830894
23	0.1257709603
24	0.1243104153
25	0.1233089965
26	0.1219726199
27	0.1208607517
28	0.1200829808
29	0.1190357971
30	0.117801346
31	0.1171242479
32	0.1166734397
33	0.1157332823
34	0.1152110658
35	0.1145130741
36	0.1138710557
37	0.1127404619
38	0.1119607542
39	0.11138974
40	0.1109738691
41	0.1103460203
42	0.1098867979
43	0.1092916821
44	0.1087631039
45	0.1081356252
46	0.1076797883
47	0.1067160227
48	0.1062595702
49	0.1058624417
50	0.1055185266
51	0.1049468786
52	0.1043576573
53	0.1040549204
54	0.1038271382
55	0.1031858449
56	0.1027165417
57	0.1022286454
58	0.1018175768
59	0.1015944919
60	0.1012506899
61	0.1010423025
62	0.1007685553
63	0.1005023035
64	0.1002709368
65	0.09997625599
66	0.09967829624
67	0.09946566169
68	0.09919967754
69	0.09891798652
70	0.09862925098
71	0.0984481522
72	0.09821465672
73	0.09800559622
74	0.09760200749
75	0.09740795935
76	0.09727748089
77	0.09702176407
78	0.0967243361
79	0.09639479144
80	0.09613269602
81	0.09589430433
82	0.09550165357
83	0.09534062789
84	0.09511019201
85	0.09502318771
86	0.09485998564
87	0.09459034948
88	0.09437678206
89	0.09426766288
90	0.09414834937
91	0.09396275907
92	0.09380324856
93	0.09359026503
94	0.09340216804
95	0.0931756711
96	0.0929394304
97	0.0927333721
98	0.09259896725
99	0.09239209992
100	0.09228480015
101	0.09196068497
102	0.09176713376
103	0.09162376525
104	0.09156538112
105	0.09135843697
106	0.09116372128
107	0.09102343949
108	0.09075920957
109	0.09063788238
110	0.09049868293
111	0.09035894414
112	0.09016660022
113	0.09005374243
114	0.08987698729
115	0.08966015073
116	0.08943770417
117	0.08928178349
118	0.08911098187
119	0.08903459485
120	0.08883373454
121	0.0886351026
122	0.0885250098
123	0.08839074802
124	0.08826105763
125	0.08816016877
126	0.08796549495
127	0.08788631681
128	0.08764806954
129	0.08754932333
130	0.08735918065
131	0.08724352561
132	0.08709212311
133	0.08698360402
134	0.08686552448
135	0.08676429747
136	0.08661654143
137	0.08650660726
138	0.08639835159
139	0.08629148616
140	0.08620812167
141	0.08610125014
142	0.08598745424
143	0.08591551554
144	0.08578945693
145	0.08569786453
146	0.08560223694
147	0.08552597088
148	0.08540987361
149	0.08528163187
150	0.08522084192
151	0.0851523003
152	0.08508347516
153	0.08498878774
154	0.08485793993
155	0.08478485117
156	0.08463944246
157	0.08458572712
158	0.08446844027
159	0.08430719521
160	0.08418634009
161	0.08408778998
162	0.08399224943
163	0.08392492885
164	0.08382525102
165	0.0837587938
166	0.08367475403
167	0.08360025873
168	0.08348059136
169	0.08338659238
170	0.08323605536
171	0.08310603403
172	0.08299909058
173	0.08283763552
174	0.08279344939
175	0.08261687234
176	0.08252622609
177	0.08243409964
178	0.08237018982
179	0.08227277466
180	0.08220858979
181	0.08209024895
182	0.08197153595
183	0.08189556057
184	0.0817853494
185	0.08161230997
186	0.08154370528
187	0.08149409785
188	0.08137431007
189	0.08131193221
190	0.0811787423
191	0.08111093054
192	0.081037404
193	0.08092249448
194	0.08083780741
195	0.08072059546
196	0.0805977796
197	0.08051978999
198	0.08046046298
199	0.08032470222
